"good_id","Product","Potential","Weight","Size","SpecialFeatures","Icon"
"0","Getränke","8","medium","medium","['Polsterung','starke Polsterung','Bruchgefahr']","🥤"
"1","Lebensmittel","9","small","medium","['Polsterung','leichte Polsterung']","🧺"
"2","Brot","8","small","small","[]","🍞"
"3","Wein","8","medium","medium","['Polsterung','starke Polsterung','Bruchgefahr']","🍷"
"4","beer","7","medium","medium","['fragile', 'heavy padding']","🍺"
"5","Honig","9","tiny","tiny","['Polsterung','leichte Polsterung']","🍯"
"6","Medikamente","10","tiny","tiny","['Kühlung']","💊"
"7","medizinische Bandagen","9","small","small","['Polsterung']","🩹"
"8","Baustoffe","1","big","big","['Bruchgefahr']","🧱"
"9","Bodenbeläge","2","big","big","['Polsterung']","🟫"
"10","Fliesen","1","big","big","['Bruchgefahr','starke Polsterung']","🟦"
"11","Holz","2","big","big","['Polsterung','starke Polsterung']","🌳"
"12","Möbel","1","big","big","['Polsterung','leichte Polsterung']","🛋️"
"13","Steinmetzarbeiten","0","huge","big","['Bruchgefahr','starke Polsterung']","🪨"
"14","Hergestellte Produkte","6","medium","medium","['Polsterung','leichte Polsterung']","🏭"
"15","Landwirtschaftserzeugnisse","8","tiny","tiny","['Polsterung']","🌾"
"16","Brillen","7","tiny","tiny","[]","👓"
"17","Schuhe","7","tiny","small","[]","👟"
"18","Schmuck","6","tiny","tiny","[]","💍"
"19","technische Geräte","4","small","small","[]","⚙️"
"20","Fahrräder","0","medium","medium","[]","🚲"
"21","Pkw","0","huge","huge","[]","🚗"
"22","Spargel","8","small","small","['Polsterung','leichte Polsterung']","🌿"
"23","Erdbeeren","8","small","small","['Polsterung','leichte Polsterung']","🍓"
