"poi_id";"Address";"Lat";"Lon";"Sector";"Hamlet";"Company";"ConsumedGoods";"ProducedGoods";"Weight";"MinSize";"MaxSize";"Size";"Source"
"0";"Hauptstraße 52, 48329 Havixbeck";"51.975716";"7.412021";"Apotheke";"";"Baumberg Apotheke";"[]";"[6]";"tiny";"tiny";"tiny";"tiny";"custom"
"1";"Blickallee 27, 48329 Havixbeck";"51.975265";"7.411593";"Apotheke";"";"wir für dich Apotheke";"[]";"[6]";"tiny";"tiny";"tiny";"tiny";"custom"
"2";"Hauptstraße 71, 48329 Havixbeck";"51.974735";"7.413732";"Medizin";"";"Sanitätshaus aus Gäher";"[]";"[7]";"small";"small";"small";"small";"custom"
"3";"Hauptstraße 49, 48329 Havixbeck";"51.975885";"7.412978";"Optik";"";"Optik Heimbach";"[]";"[16]";"tiny";"tiny";"tiny";"tiny";"custom"
"4";"Hauptstraße 48, 48329 Havixbeck";"51.976177";"7.411663";"Optik";"";"Brillenmode Bäumer";"[]";"[16]";"tiny";"tiny";"tiny";"tiny";"custom"
"5";"Hauptstraße 47A, 48329 Havixbeck";"51.976171";"7.412433";"Handwerk";"";"Goldschmiede Philippskötter";"[]";"[18]";"tiny";"tiny";"tiny";"tiny";"custom"
"6";"Altenberger Str. 9 A, 48329 Havixbeck";"51.976901";"7.411992";"Gastronomie";"";"Der Weingarten";"[]";"[3]";"medium";"medium";"medium";"medium";"custom"
"7";"Lasbeck 45, 48329 Havixbeck";"51.968632";"7.408178";"Gastronomie";"";"Schwanis Getränkehandel";"[]";"[0]";"medium";"medium";"medium";"medium";"custom"
"8";"Hauptstraße 63, 48329 Havixbeck";"51.975261";"7.413968";"Einzelhandel";"";"Conceptstore das schöne Leben";"[]";"[1]";"small";"medium";"medium";"medium";"custom"
"9";"Hauptstraße 65, 48329 Havixbeck";"51.975324";"7.416779";"Einzelhandel";"";"T-Partner Normann & Kremser";"[]";"[]";"small";"tiny";"small";"tiny";"custom"
"10";"Poppenbeck 72, 48329 Havixbeck";"51.980162";"7.403132";"Einzelhandel";"Bauerschaft Gennerich";"Bauerschaft Gennerich - TKS Telekommunikation Helmut Schieve";"[]";"[]";"small";"tiny";"small";"tiny";"custom"
"11";"Teltheide 42, 48329 Havixbeck";"51.994715";"7.465812";"Einzelhandel";"";"gramm data Computerservice";"[]";"[]";"small";"tiny";"small";"tiny";"custom"
"12";"Lütke Feld 9-11, 48329 Havixbeck";"51.965066";"7.424461";"Einzelhandel";"";"EPS Vertrieb GmbH";"[]";"[]";"small";"tiny";"small";"tiny";"custom"
"13";"Freiherr-von-Twickel-Straße 11, 48329 Havixbeck";"51.970421";"7.410611";"Möbelhandel";"";"noto 2nd Hand Designmöbel";"[12]";"[12]";"big";"medium";"big";"medium";"custom"
"14";"Schützenstraße 93, 48329 Havixbeck";"51.979554";"7.434654";"Möbelhandel";"";"Küchentreff Havixbeck";"[9, 10]";"[12]";"big";"medium";"big";"medium";"custom"
"15";"Poppenbeck 17, 48329 Havixbeck";"51.974219";"7.386616";"Möbelmanufaktur";"Bauerschaft Poppenbeck";"Bauerschaft Poppenbeck - Tischlerei Gövert";"[8, 11]";"[12]";"big";"medium";"big";"medium";"custom"
"16";"Poppenbeck 72, 48329 Havixbeck";"51.979299";"7.404314";"Möbelmanufaktur";"Bauerschaft Gennerich";"Bauerschaft Gennerich - Herr Lars Möbelmanufaktur";"[8, 11]";"[12]";"big";"medium";"big";"medium";"custom"
"17";"Masbeck 4, 48329 Havixbeck";"51.966447";"7.430836";"Baugewerbe";"Bauerschaft Masbeck";"Bauerschaft Masbeck - Fliesengeschäft Mühlenbeck";"[]";"[10]";"big";"medium";"big";"medium";"custom"
"18";"Freiherr-von-Twickel-Straße 11, 48329 Havixbeck";"51.970466";"7.410751";"Baugewerbe";"";"Heinrich Wehmeyer GmbH Holzhandlung";"[11]";"[]";"big";"medium";"big";"medium";"custom"
"19";"Rabertsweg 6, 48329 Havixbeck";"51.980406";"7.413669";"Baugewerbe";"";"Holzinsel Bodenbeläge";"[9]";"[]";"big";"medium";"big";"medium";"custom"
"20";"Lasbeck 20, 48329 Havixbeck";"51.966846";"7.403729";"Baugewerbe";"Bauerschaft Lasbeck";"Bauerschaft Lasbeck - Kaminholz Merfeld";"[11]";"[]";"big";"medium";"big";"medium";"custom"
"21";"Am Schlautbach 13, 48329 Havixbeck";"51.971947";"7.423197";"Möbelhandel";"";"Rottwinkel Raumausstatter";"[12]";"[12]";"big";"medium";"big";"medium";"custom"
"22";"Freiherr-von-Twickel-Straße 34, 48329 Havixbeck";"51.969102";"7.404186";"Baugewerbe";"Bauerschaft Lasbeck";"Bauerschaft Lasbeck - Railand Raiffeisen AG";"[8]";"[]";"big";"medium";"big";"medium";"custom"
"23";"Masbeck 4a, 48329 Havixbeck";"51.966077";"7.427831";"Baugewerbe";"Bauerschaft Masbeck";"Bauerschaft Masbeck - Laubrock Baumarkt";"[8]";"[]";"big";"medium";"big";"medium";"custom"
"24";"Hauptstraße 5, 48329 Havixbeck";"51.977726";"7.412245";"Technik";"";"Bussmann Land & Garten Technik";"[19]";"[]";"tiny";"tiny";"small";"tiny";"custom"
"25";"Willi-Richter-Platz 1, 48329 Havixbeck";"51.975656";"7.414068";"Technik";"";"Rathaus";"[]";"[]";"tiny";"tiny";"small";"tiny";"custom"
"26";"Brock 33, 48161 Münster";"51.950822";"7.505883";"Einzelhandel";"Bauerschaft Brock";"Bauerschaft Brock - Lay high-heels-discount";"[17]";"[]";"tiny";"tiny";"small";"tiny";"custom"
"27";"Brock 20a, 48161 Münster";"51.953084";"7.506857";"Einzelhandel";"Bauerschaft Brock";"Bauerschaft Brock - Pferdepraxis Roggel & Bücker";"[]";"[]";"tiny";"tiny";"small";"tiny";"custom"
"28";"Lasbeck 21, 48329 Havixbeck";"51.96738";"7.405765";"Einzelhandel";"Bauerschaft Lasbeck";"Bauerschaft Lasbeck - Kleider-Diele Treus";"[]";"[]";"tiny";"tiny";"small";"tiny";"custom"
