"poi_id";"Address";"Lat";"Lon";"Sector";"Company";"ConsumedGoods";"ProducedGoods";"Weight";"MinSize";"MaxSize";"Size"
"0";"Nienberger Kirchplatz 2-4, 48161 Münster";"51.9984248";"7.5592424";"gastronomy";"Herz Dame";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"1";"";"52.0000352";"7.5595829";"gastronomy";"Gastronomy";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"2";"Lasbeck 43, 48329 Havixbeck";"51.9627622";"7.386906";"gastronomy";"Café Pannkokenhus Teitekerl";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"3";"Altenberger Straße 14, 48329 Havixbeck";"51.9765771";"7.4127273";"gastronomy";"Kemper";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"4";"Heller 55, 48301 Nottuln";"51.9161175";"7.3854413";"gastronomy";"Jägerhof Sendes";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"5";"";"51.9931849";"7.4820104";"gastronomy";"Egons Kotten";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"6";"Dieckmannstraße 4-10, 48161 Münster";"51.9729899";"7.5648454";"gastronomy";"Loco";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"7";"Dieckmannstraße 8-10, 48161 Münster";"51.9725883";"7.5646528";"gastronomy";"Peters Esszimmer";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"8";"Dörholt 14, 48727 Billerbeck";"51.9640779";"7.3327411";"gastronomy";"La Baita";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"9";"Tilbeck 2, 48329 Havixbeck";"51.9418112";"7.4415193";"gastronomy";"Tilbeck - Tilbecks Café";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"10";"Hauptstraße 57, 48329 Havixbeck";"51.9753761";"7.412822";"gastronomy";"San Remo";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"11";"Hauptstraße 66, 48329 Havixbeck";"51.9750054";"7.4127115";"gastronomy";"Pizzeria Italia";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"12";"Hauptstraße 56, 48329 Havixbeck";"51.9754545";"7.4122378";"gastronomy";"Wanjas Bistro";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"13";"Hauptstraße 75, 48329 Havixbeck";"51.9743645";"7.4133904";"gastronomy";"Kral";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"14";"Hauptstraße 67, 48329 Havixbeck";"51.9748362";"7.4132552";"gastronomy";"Yosara";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"15";"Altenberger Straße 10, 48329 Havixbeck";"51.9764871";"7.4118967";"gastronomy";"Ebbinghaus";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"16";"Roxeler Straße 579, 48161 Münster";"51.954486";"7.5344559";"gastronomy";"Hotel Brintrup";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"17";"Bahnhofstraße 16, 48308 Senden";"51.9163018";"7.4789996";"gastronomy";"Bösensell - Toscana";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"18";"Annette-von-Droste-Hülshoff-Straße 4, 48161 Münster";"51.9544647";"7.5326604";"gastronomy";"Speiselokal Med";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"19";"Havixbecker Straße 9, 48161 Münster";"51.9553128";"7.5338954";"gastronomy";"Roxeler Gyros & Pizza";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"20";"";"51.9981369";"7.5581499";"gastronomy";"Zerda Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"21";"Dülmener Straße 33, 48163 Münster";"51.9247509";"7.5220907";"gastronomy";"Albachtener Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"22";"Schulstraße 6, 48329 Havixbeck";"51.975057";"7.4142117";"gastronomy";"ASIA Phung";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"23";"";"51.9772397";"7.4101799";"gastronomy";"Palermo";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"24";"Zur Gräfte 18, 48161 Münster";"51.998153";"7.5580472";"gastronomy";"Bergamo";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"25";"";"51.9728056";"7.5647219";"gastronomy";"Pizzaria Rüschhaus";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"26";"Josef-Heydt-Straße 43, 48329 Havixbeck";"51.9736356";"7.4142654";"gastronomy";"Havixbecker Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"27";"Pantaleonstraße 10, 48161 Münster";"51.9545364";"7.5338793";"gastronomy";"Kortmann";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"28";"Baumberg 4, 48301 Nottuln";"51.9601265";"7.3658377";"gastronomy";"18|97 Café am Longinusturm";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"29";"";"52.0252846";"7.4880205";"gastronomy";"Garten Cafe";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"30";"";"51.9346695";"7.4157145";"gastronomy";"Italia";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"31";"";"51.9761443";"7.4113212";"gastronomy";"Apollon";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"32";"Hauptstraße 67, 48329 Havixbeck";"51.9747464";"7.4132821";"gastronomy";"asiahub";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"33";"";"51.9937148";"7.569674";"gastronomy";"Papa George Nienberge";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
"34";"Haus Uhlenkotten 28, 48159 Münster";"51.9914298";"7.5689584";"gastronomy";"Kochmütze";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium"
